Time (Sec);S100;S1;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S2;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S3;S30;S32;S33;S34;S35;S36;S37;S38;S39;S4;S40;S41;S5;S6;S7;S8;S9;
5460.137037333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.77031519999994;99.87286559999997;99.87286559999997;99.77031519999994;99.77031519999994;99.66776479999992;99.91584639999998;99.66776479999992;99.46266399999986;99.56521439999989;99.56521439999989;99.69234879999992;99.66776479999992;99.66776479999992;99.77031519999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.69234879999992;99.69234879999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.148126666678;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.77031519999994;99.87286559999997;99.87286559999997;99.77031519999994;99.77031519999994;99.66776479999992;99.91584639999998;99.66776479999992;99.46266399999986;99.56521439999989;99.56521439999989;99.69234879999992;99.66776479999992;99.66776479999992;99.77031519999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.69234879999992;99.69234879999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.151417333344;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.76230719999994;99.87286559999997;99.87286559999997;99.76230719999994;99.77031519999994;99.65975679999991;99.91584639999998;99.66776479999992;99.45465599999986;99.56521439999989;99.56521439999989;99.68434079999992;99.66776479999992;99.65975679999991;99.77031519999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.68434079999992;99.69234879999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.151417333344;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.77031519999994;99.64318079999991;99.91584639999998;99.66776479999992;99.43807999999986;99.56521439999989;99.56521439999989;99.66776479999992;99.66776479999992;99.64318079999991;99.77031519999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.66776479999992;99.69234879999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.152506666678;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.77031519999994;99.64318079999991;99.91584639999998;99.66776479999992;99.43807999999986;99.56521439999989;99.56521439999989;99.66776479999992;99.66776479999992;99.64318079999991;99.76230719999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.66776479999992;99.69234879999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.152506666678;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.77031519999994;99.64318079999991;99.91584639999998;99.66776479999992;99.43807999999986;99.56521439999989;99.56521439999989;99.66776479999992;99.66776479999992;99.64318079999991;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.66776479999992;99.69234879999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.182877333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.76230719999994;99.64318079999991;99.91584639999998;99.65975679999991;99.43807999999986;99.56521439999989;99.55720639999988;99.66776479999992;99.65975679999991;99.64318079999991;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.66776479999992;99.68434079999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.182877333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.64318079999991;99.91584639999998;99.64318079999991;99.43807999999986;99.56521439999989;99.54063039999988;99.66776479999992;99.64318079999991;99.64318079999991;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.66776479999992;99.66776479999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.183966666678;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.64318079999991;99.91584639999998;99.64318079999991;99.43807999999986;99.56521439999989;99.54063039999988;99.66776479999992;99.64318079999991;99.6351727999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.66776479999992;99.66776479999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.183966666678;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.64318079999991;99.91584639999998;99.64318079999991;99.43807999999986;99.56521439999989;99.54063039999988;99.66776479999992;99.64318079999991;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.66776479999992;99.66776479999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.192877333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.64318079999991;99.91584639999998;99.64318079999991;99.43807999999986;99.56521439999989;99.54063039999988;99.66776479999992;99.64318079999991;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.66776479999992;99.66776479999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.214337333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6351727999999;99.91584639999998;99.64318079999991;99.43807999999986;99.55720639999988;99.54063039999988;99.65975679999991;99.64318079999991;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.65975679999991;99.66776479999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.214337333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.64318079999991;99.43807999999986;99.54063039999988;99.54063039999988;99.64318079999991;99.64318079999991;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.64318079999991;99.66776479999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.2154266666785;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.64318079999991;99.43807999999986;99.54063039999988;99.54063039999988;99.64318079999991;99.6351727999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.64318079999991;99.66776479999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.2154266666785;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.64318079999991;99.43807999999986;99.54063039999988;99.54063039999988;99.64318079999991;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.64318079999991;99.66776479999992;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.245797333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6351727999999;99.43007199999985;99.54063039999988;99.53262239999988;99.64318079999991;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.64318079999991;99.65975679999991;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.245797333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.41349599999985;99.54063039999988;99.51604639999988;99.64318079999991;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.64318079999991;99.64318079999991;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.246886666679;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.41349599999985;99.54063039999988;99.51604639999988;99.6351727999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.64318079999991;99.64318079999991;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.246886666679;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.41349599999985;99.54063039999988;99.51604639999988;99.6185967999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.64318079999991;99.64318079999991;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.255797333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.41349599999985;99.54063039999988;99.51604639999988;99.6185967999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.64318079999991;99.64318079999991;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.277257333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.41349599999985;99.53262239999988;99.51604639999988;99.6185967999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.6351727999999;99.64318079999991;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.277257333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.41349599999985;99.51604639999988;99.51604639999988;99.6185967999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.6185967999999;99.64318079999991;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.278346666679;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.41349599999985;99.51604639999988;99.50803839999988;99.6185967999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.6185967999999;99.64318079999991;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.278346666679;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.41349599999985;99.51604639999988;99.49146239999988;99.6185967999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.6185967999999;99.64318079999991;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.308717333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.40548799999985;99.51604639999988;99.49146239999988;99.6185967999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.6185967999999;99.6351727999999;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.308717333345;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.38891199999985;99.51604639999988;99.49146239999988;99.6185967999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.6185967999999;99.6185967999999;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
5460.309806666679;100.0;99.91584639999998;99.91347839999996;99.87400959999998;99.87286559999997;99.74573119999994;99.74573119999994;99.87286559999997;99.87286559999997;99.74573119999994;99.74573119999994;99.6185967999999;99.91584639999998;99.6185967999999;99.38891199999985;99.50803839999988;99.49146239999988;99.6185967999999;99.6185967999999;99.6185967999999;99.74573119999994;99.74573119999994;99.87286559999997;99.91584639999998;99.87286559999997;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.87400959999998;99.91584639999998;99.6185967999999;99.6185967999999;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;99.91584639999998;
